customer_id,first_name,last_name,email,segment,region,city,state,created_at,loyalty_tier
C000024,Riley,Griffin,riley.griffin24@mail.example,Guide Service,Piedmont,Charlotte,NC,2025-07-23T00:00:00,Silver
C000025,Logan,Hayes,logan.hayes25@mail.example,Corporate,Smoky Mountains,Johnson City,TN,2025-06-03T00:00:00,Gold
C000026,Parker,Bennett,parker.bennett26@mail.example,Corporate,Piedmont,Charlotte,NC,2024-08-09T00:00:00,Gold
C000027,Jamie,Bennett,jamie.bennett27@mail.example,Loyalty,Smoky Mountains,Knoxville,TN,2025-10-17T00:00:00,Platinum
C000028,Finley,Powell,finley.powell28@mail.example,School Program,Piedmont,Charlotte,NC,2024-03-28T00:00:00,B2B Account
C000029,Reese,Bennett,reese.bennett29@mail.example,Loyalty,Blue Ridge,Boone,NC,2025-05-31T00:00:00,Platinum
C000030,Skyler,Hayes,skyler.hayes30@mail.example,Guide Service,Smoky Mountains,Knoxville,TN,2024-06-18T00:00:00,Bronze
C000031,Jamie,Richardson,jamie.richardson31@mail.example,School Program,Piedmont,Columbia,SC,2025-01-23T00:00:00,B2B Account
C000032,Rowan,Wood,rowan.wood32@mail.example,School Program,Foothills,Hickory,NC,2025-09-22T00:00:00,Silver
C000033,Quinn,Collins,quinn.collins33@mail.example,Retail,Appalachian,Boone,NC,2025-06-04T00:00:00,Silver
C000034,Avery,Wood,avery.wood34@mail.example,School Program,Blue Ridge,Roanoke,VA,2025-02-26T00:00:00,Silver
C000035,Jordan,Foster,jordan.foster35@mail.example,Retail,Blue Ridge,Asheville,NC,2024-04-17T00:00:00,Gold
C000036,Rowan,Brooks,rowan.brooks36@mail.example,School Program,Piedmont,Charlotte,NC,2025-01-08T00:00:00,B2B Account
C000037,Sawyer,Richardson,sawyer.richardson37@mail.example,Loyalty,Appalachian,Asheville,NC,2024-10-22T00:00:00,Gold
C000038,Reese,Turner,reese.turner38@mail.example,Guide Service,Coastal,Charleston,SC,2024-10-13T00:00:00,Bronze
C000039,Taylor,Collins,taylor.collins39@mail.example,Corporate,Piedmont,Hickory,NC,2024-05-10T00:00:00,Bronze
C000040,Reese,Price,reese.price40@mail.example,Reseller,Blue Ridge,Asheville,NC,2025-12-13T00:00:00,Silver
C000041,Taylor,Foster,taylor.foster41@mail.example,Retail,Foothills,Hickory,NC,2024-05-29T00:00:00,Bronze
C000042,Riley,Hayes,riley.hayes42@mail.example,School Program,Appalachian,Johnson City,TN,2024-10-09T00:00:00,Bronze
C000043,Parker,Hayes,parker.hayes43@mail.example,Loyalty,Foothills,Greenville,SC,2024-07-18T00:00:00,Gold
C000044,Avery,Cooper,avery.cooper44@mail.example,Retail,Coastal,Charleston,SC,2024-03-16T00:00:00,Silver
C000045,Dakota,Bailey,dakota.bailey45@mail.example,Corporate,Piedmont,Charlotte,NC,2025-11-22T00:00:00,Gold
C000046,Dakota,Powell,dakota.powell46@mail.example,Loyalty,Smoky Mountains,Knoxville,TN,2024-07-07T00:00:00,Gold
C000047,Finley,Sanders,finley.sanders47@mail.example,Loyalty,Piedmont,Columbia,SC,2024-09-13T00:00:00,Silver
C000048,Finley,Powell,finley.powell48@mail.example,Corporate,Appalachian,Boone,NC,2025-06-27T00:00:00,Gold
C000049,Jordan,Foster,jordan.foster49@mail.example,School Program,Piedmont,Columbia,SC,2024-05-28T00:00:00,Bronze
C000050,Dakota,Brooks,dakota.brooks50@mail.example,Guide Service,Appalachian,Johnson City,TN,2025-03-01T00:00:00,Silver
C000051,Parker,Bell,parker.bell51@mail.example,Guide Service,Smoky Mountains,Knoxville,TN,2024-01-05T00:00:00,Silver
C000052,Morgan,Brooks,morgan.brooks52@mail.example,Corporate,Foothills,Greenville,SC,2025-08-22T00:00:00,Silver
C000053,Rowan,Bennett,rowan.bennett53@mail.example,Loyalty,Smoky Mountains,Knoxville,TN,2024-10-25T00:00:00,Silver
C000054,Emerson,Bell,emerson.bell54@mail.example,Guide Service,Piedmont,Columbia,SC,2025-10-13T00:00:00,Silver
C000055,Jamie,Hayes,jamie.hayes55@mail.example,Corporate,Appalachian,Roanoke,VA,2024-03-03T00:00:00,Silver
C000056,Cameron,Powell,cameron.powell56@mail.example,Reseller,Coastal,Charleston,SC,2024-07-28T00:00:00,Platinum
C000057,Logan,Hayes,logan.hayes57@mail.example,School Program,Smoky Mountains,Knoxville,TN,2024-06-23T00:00:00,Silver
C000058,Casey,Bell,casey.bell58@mail.example,School Program,Smoky Mountains,Knoxville,TN,2024-12-12T00:00:00,Bronze
C000059,Taylor,Powell,taylor.powell59@mail.example,Reseller,Appalachian,Roanoke,VA,2025-12-20T00:00:00,Gold
C000060,Cameron,Reed,cameron.reed60@mail.example,Corporate,Piedmont,Charlotte,NC,2024-04-01T00:00:00,Platinum
C000061,Skyler,Carter,skyler.carter61@mail.example,Retail,Foothills,Knoxville,TN,2025-04-09T00:00:00,Gold
C000062,Quinn,Carter,quinn.carter62@mail.example,Corporate,Foothills,Hickory,NC,2025-10-06T00:00:00,Bronze
C000063,Reese,Powell,reese.powell63@mail.example,Guide Service,Appalachian,Boone,NC,2025-07-18T00:00:00,Silver
C000064,Casey,Hayes,casey.hayes64@mail.example,Reseller,Foothills,Greenville,SC,2024-08-18T00:00:00,Gold
C000065,Avery,Powell,avery.powell65@mail.example,Retail,Piedmont,Columbia,SC,2025-07-12T00:00:00,Platinum
C000066,Emerson,Price,emerson.price66@mail.example,Retail,Appalachian,Johnson City,TN,2024-07-20T00:00:00,Bronze
C000067,Avery,Bell,avery.bell67@mail.example,Reseller,Piedmont,Columbia,SC,2024-05-03T00:00:00,Bronze
C000068,Taylor,Parker,taylor.parker68@mail.example,School Program,Blue Ridge,Asheville,NC,2024-08-28T00:00:00,Silver
C000069,Casey,Morgan,casey.morgan69@mail.example,Reseller,Appalachian,Roanoke,VA,2025-12-17T00:00:00,Silver
C000070,Dakota,Price,dakota.price70@mail.example,Guide Service,Foothills,Greenville,SC,2024-09-19T00:00:00,Silver
C000071,Cameron,Bennett,cameron.bennett71@mail.example,Guide Service,Appalachian,Johnson City,TN,2024-07-30T00:00:00,Bronze
C000072,Casey,Griffin,casey.griffin72@mail.example,Guide Service,Piedmont,Charlotte,NC,2024-05-15T00:00:00,Silver
C000073,Dakota,Cooper,dakota.cooper73@mail.example,Guide Service,Piedmont,Charlotte,NC,2024-01-10T00:00:00,Silver
C000074,Logan,Turner,logan.turner74@mail.example,School Program,Piedmont,Charlotte,NC,2024-01-19T00:00:00,Bronze
C000075,Taylor,Foster,taylor.foster75@mail.example,Retail,Blue Ridge,Asheville,NC,2024-04-05T00:00:00,Gold
C000076,Parker,Morgan,parker.morgan76@mail.example,School Program,Foothills,Hickory,NC,2025-06-04T00:00:00,Silver
C000077,Rowan,Cooper,rowan.cooper77@mail.example,Retail,Piedmont,Charlotte,NC,2025-01-05T00:00:00,Bronze
C000078,Logan,Richardson,logan.richardson78@mail.example,Retail,Blue Ridge,Asheville,NC,2025-12-03T00:00:00,Platinum
C000079,Quinn,Morgan,quinn.morgan79@mail.example,Reseller,Coastal,Charleston,SC,2024-12-17T00:00:00,Gold
C000080,Parker,Reed,parker.reed80@mail.example,Guide Service,Foothills,Greenville,SC,2025-05-15T00:00:00,Silver
C000081,Emerson,Reed,emerson.reed81@mail.example,Loyalty,Piedmont,Charlotte,NC,2024-02-19T00:00:00,Gold
C000082,Morgan,Wood,morgan.wood82@mail.example,Reseller,Appalachian,Johnson City,TN,2025-09-20T00:00:00,Bronze
C000083,Rowan,Sanders,rowan.sanders83@mail.example,Retail,Coastal,Charleston,SC,2025-06-13T00:00:00,Bronze
C000084,Cameron,Price,cameron.price84@mail.example,Loyalty,Piedmont,Columbia,SC,2024-05-12T00:00:00,Gold
C000085,Emerson,Price,emerson.price85@mail.example,Guide Service,Coastal,Charleston,SC,2025-12-12T00:00:00,Bronze
C000086,Emerson,Murphy,emerson.murphy86@mail.example,Corporate,Smoky Mountains,Knoxville,TN,2024-08-21T00:00:00,Platinum
C000087,Taylor,Reed,taylor.reed87@mail.example,Guide Service,Foothills,Knoxville,TN,2024-09-23T00:00:00,Silver
C000088,Logan,Hayes,logan.hayes88@mail.example,School Program,Piedmont,Columbia,SC,2025-11-03T00:00:00,Bronze
C000089,Casey,Brooks,casey.brooks89@mail.example,Loyalty,Appalachian,Johnson City,TN,2025-09-26T00:00:00,Platinum
C000090,Dakota,Carter,dakota.carter90@mail.example,School Program,Piedmont,Columbia,SC,2024-12-09T00:00:00,Bronze
C000091,Reese,Turner,reese.turner91@mail.example,Guide Service,Foothills,Greenville,SC,2025-01-06T00:00:00,Bronze
C000092,Drew,Sanders,drew.sanders92@mail.example,School Program,Foothills,Greenville,SC,2025-10-02T00:00:00,Silver
C000093,Quinn,Hayes,quinn.hayes93@mail.example,Reseller,Appalachian,Boone,NC,2025-01-16T00:00:00,Gold
C000094,Harper,Brooks,harper.brooks94@mail.example,Guide Service,Appalachian,Boone,NC,2025-09-25T00:00:00,Bronze
C000095,Avery,Powell,avery.powell95@mail.example,Reseller,Foothills,Hickory,NC,2025-07-26T00:00:00,Silver
C000096,Casey,Hayes,casey.hayes96@mail.example,Loyalty,Foothills,Hickory,NC,2024-01-18T00:00:00,Silver
C000097,Harper,Bailey,harper.bailey97@mail.example,Retail,Smoky Mountains,Johnson City,TN,2025-09-28T00:00:00,Silver
C000098,Morgan,Bailey,morgan.bailey98@mail.example,Loyalty,Piedmont,Charlotte,NC,2025-09-16T00:00:00,Gold
C000099,Riley,Reed,riley.reed99@mail.example,School Program,Blue Ridge,Boone,NC,2025-08-19T00:00:00,Bronze
C000100,Taylor,Powell,taylor.powell100@mail.example,Loyalty,Piedmont,Greenville,SC,2024-10-03T00:00:00,Silver
C000101,Jordan,Bailey,jordan.bailey101@mail.example,Reseller,Piedmont,Charlotte,NC,2025-07-12T00:00:00,Bronze
C000102,Cameron,Bell,cameron.bell102@mail.example,Retail,Smoky Mountains,Knoxville,TN,2024-02-27T00:00:00,Gold
C000103,Taylor,Murphy,taylor.murphy103@mail.example,Retail,Foothills,Greenville,SC,2025-05-10T00:00:00,Gold
C000104,Jamie,Foster,jamie.foster104@mail.example,School Program,Piedmont,Columbia,SC,2025-10-02T00:00:00,Bronze
C000105,Jordan,Wood,jordan.wood105@mail.example,School Program,Foothills,Hickory,NC,2025-05-14T00:00:00,Silver
C000106,Emerson,Hayes,emerson.hayes106@mail.example,Corporate,Appalachian,Roanoke,VA,2025-10-24T00:00:00,Bronze
C000107,Dakota,Bailey,dakota.bailey107@mail.example,Retail,Appalachian,Roanoke,VA,2024-10-09T00:00:00,Platinum
C000108,Parker,Collins,parker.collins108@mail.example,Loyalty,Smoky Mountains,Knoxville,TN,2024-12-13T00:00:00,Silver
C000109,Avery,Powell,avery.powell109@mail.example,Retail,Piedmont,Charlotte,NC,2024-08-19T00:00:00,Silver
C000110,Casey,Wood,casey.wood110@mail.example,Reseller,Foothills,Knoxville,TN,2024-01-22T00:00:00,Silver
C000111,Emerson,Griffin,emerson.griffin111@mail.example,School Program,Blue Ridge,Boone,NC,2025-12-20T00:00:00,Bronze
C000112,Finley,Morgan,finley.morgan112@mail.example,Corporate,Appalachian,Boone,NC,2024-08-03T00:00:00,Platinum
C000113,Jordan,Wood,jordan.wood113@mail.example,Corporate,Appalachian,Roanoke,VA,2024-02-04T00:00:00,Platinum
C000114,Avery,Richardson,avery.richardson114@mail.example,Retail,Appalachian,Boone,NC,2024-02-28T00:00:00,Gold
C000115,Quinn,Carter,quinn.carter115@mail.example,Retail,Piedmont,Greenville,SC,2025-05-05T00:00:00,Platinum
C000116,Cameron,Brooks,cameron.brooks116@mail.example,Loyalty,Blue Ridge,Roanoke,VA,2024-05-04T00:00:00,Gold
C000117,Drew,Wood,drew.wood117@mail.example,Corporate,Piedmont,Columbia,SC,2024-04-14T00:00:00,Gold
C000118,Cameron,Bennett,cameron.bennett118@mail.example,Guide Service,Smoky Mountains,Knoxville,TN,2025-06-24T00:00:00,Bronze
C000119,Rowan,Foster,rowan.foster119@mail.example,Retail,Foothills,Greenville,SC,2025-05-28T00:00:00,Silver
C000120,Casey,Turner,casey.turner120@mail.example,Loyalty,Piedmont,Columbia,SC,2024-12-04T00:00:00,Gold
C000121,Morgan,Richardson,morgan.richardson121@mail.example,Corporate,Appalachian,Boone,NC,2024-06-24T00:00:00,Silver
C000122,Logan,Morgan,logan.morgan122@mail.example,Corporate,Foothills,Greenville,SC,2025-10-24T00:00:00,Bronze
C000123,Riley,Richardson,riley.richardson123@mail.example,School Program,Appalachian,Roanoke,VA,2024-09-02T00:00:00,Bronze
C000124,Finley,Bennett,finley.bennett124@mail.example,School Program,Blue Ridge,Asheville,NC,2025-08-31T00:00:00,Silver
C000125,Harper,Parker,harper.parker125@mail.example,Guide Service,Piedmont,Charlotte,NC,2024-08-12T00:00:00,B2B Account
C000126,Dakota,Brooks,dakota.brooks126@mail.example,Retail,Piedmont,Charlotte,NC,2025-12-13T00:00:00,Bronze
C000127,Rowan,Reed,rowan.reed127@mail.example,Corporate,Piedmont,Columbia,SC,2025-05-26T00:00:00,Platinum
C000128,Casey,Bennett,casey.bennett128@mail.example,Reseller,Piedmont,Greenville,SC,2025-02-23T00:00:00,Platinum
C000129,Skyler,Bailey,skyler.bailey129@mail.example,School Program,Piedmont,Charlotte,NC,2025-10-16T00:00:00,B2B Account
C000130,Rowan,Hayes,rowan.hayes130@mail.example,Guide Service,Piedmont,Greenville,SC,2024-09-28T00:00:00,Bronze
C000131,Casey,Morgan,casey.morgan131@mail.example,Guide Service,Foothills,Hickory,NC,2024-06-27T00:00:00,Silver
C000132,Skyler,Richardson,skyler.richardson132@mail.example,Loyalty,Appalachian,Roanoke,VA,2024-02-05T00:00:00,Silver
C000133,Dakota,Reed,dakota.reed133@mail.example,Guide Service,Smoky Mountains,Johnson City,TN,2025-03-27T00:00:00,B2B Account
C000134,Morgan,Parker,morgan.parker134@mail.example,Retail,Piedmont,Charlotte,NC,2025-07-25T00:00:00,Silver
C000135,Drew,Price,drew.price135@mail.example,Reseller,Appalachian,Boone,NC,2024-11-15T00:00:00,Gold
C000136,Riley,Reed,riley.reed136@mail.example,Reseller,Piedmont,Columbia,SC,2025-01-09T00:00:00,Bronze
C000137,Riley,Bell,riley.bell137@mail.example,School Program,Blue Ridge,Asheville,NC,2025-03-07T00:00:00,Bronze
C000138,Taylor,Collins,taylor.collins138@mail.example,Guide Service,Smoky Mountains,Knoxville,TN,2024-05-15T00:00:00,Silver
C000139,Emerson,Murphy,emerson.murphy139@mail.example,School Program,Piedmont,Charlotte,NC,2025-06-02T00:00:00,Bronze
C000140,Dakota,Bennett,dakota.bennett140@mail.example,Guide Service,Piedmont,Charlotte,NC,2024-01-30T00:00:00,Silver
C000141,Drew,Turner,drew.turner141@mail.example,Corporate,Foothills,Greenville,SC,2024-03-29T00:00:00,Gold
C000142,Quinn,Collins,quinn.collins142@mail.example,Reseller,Coastal,Charleston,SC,2025-06-28T00:00:00,Gold
C000143,Parker,Parker,parker.parker143@mail.example,Loyalty,Appalachian,Boone,NC,2025-09-04T00:00:00,Silver
C000144,Avery,Cooper,avery.cooper144@mail.example,Retail,Blue Ridge,Roanoke,VA,2025-02-02T00:00:00,Gold
C000145,Drew,Turner,drew.turner145@mail.example,School Program,Blue Ridge,Asheville,NC,2024-07-16T00:00:00,Bronze
C000146,Casey,Richardson,casey.richardson146@mail.example,Corporate,Appalachian,Johnson City,TN,2024-12-25T00:00:00,Platinum
C000147,Casey,Bailey,casey.bailey147@mail.example,Corporate,Blue Ridge,Asheville,NC,2025-04-13T00:00:00,Platinum
C000148,Riley,Bell,riley.bell148@mail.example,Reseller,Foothills,Greenville,SC,2024-07-28T00:00:00,Silver
C000149,Logan,Cooper,logan.cooper149@mail.example,Retail,Piedmont,Columbia,SC,2024-10-02T00:00:00,Bronze
C000150,Skyler,Brooks,skyler.brooks150@mail.example,Guide Service,Piedmont,Columbia,SC,2024-10-16T00:00:00,Silver
C000151,Parker,Parker,parker.parker151@mail.example,Loyalty,Smoky Mountains,Johnson City,TN,2025-07-16T00:00:00,Silver
C000152,Harper,Turner,harper.turner152@mail.example,Retail,Appalachian,Johnson City,TN,2024-02-12T00:00:00,Silver
C000153,Parker,Bennett,parker.bennett153@mail.example,Loyalty,Piedmont,Charlotte,NC,2024-09-28T00:00:00,Platinum
C000154,Parker,Cooper,parker.cooper154@mail.example,Guide Service,Coastal,Charleston,SC,2024-05-26T00:00:00,B2B Account
C000155,Jordan,Parker,jordan.parker155@mail.example,Guide Service,Appalachian,Johnson City,TN,2024-07-22T00:00:00,B2B Account
C000156,Parker,Morgan,parker.morgan156@mail.example,Guide Service,Foothills,Hickory,NC,2024-11-11T00:00:00,Bronze
C000157,Cameron,Sanders,cameron.sanders157@mail.example,Reseller,Foothills,Hickory,NC,2025-11-02T00:00:00,Gold
C000158,Reese,Morgan,reese.morgan158@mail.example,Corporate,Appalachian,Johnson City,TN,2025-09-23T00:00:00,Platinum
C000159,Sawyer,Sanders,sawyer.sanders159@mail.example,School Program,Piedmont,Charlotte,NC,2024-09-21T00:00:00,Silver
C000160,Cameron,Hayes,cameron.hayes160@mail.example,Retail,Foothills,Hickory,NC,2025-06-16T00:00:00,Bronze
C000161,Avery,Griffin,avery.griffin161@mail.example,School Program,Piedmont,Charlotte,NC,2024-07-20T00:00:00,Silver
C000162,Logan,Wood,logan.wood162@mail.example,Loyalty,Appalachian,Roanoke,VA,2025-05-11T00:00:00,Silver
C000163,Drew,Price,drew.price163@mail.example,Loyalty,Smoky Mountains,Knoxville,TN,2024-02-09T00:00:00,Silver
C000164,Rowan,Price,rowan.price164@mail.example,Corporate,Piedmont,Charlotte,NC,2025-07-15T00:00:00,Bronze
C000165,Cameron,Bailey,cameron.bailey165@mail.example,Reseller,Foothills,Knoxville,TN,2024-02-27T00:00:00,Platinum
C000166,Taylor,Foster,taylor.foster166@mail.example,Reseller,Piedmont,Charlotte,NC,2024-06-13T00:00:00,Gold
C000167,Taylor,Price,taylor.price167@mail.example,Guide Service,Coastal,Charleston,SC,2025-12-08T00:00:00,Bronze
C000168,Riley,Parker,riley.parker168@mail.example,Guide Service,Piedmont,Columbia,SC,2025-10-17T00:00:00,B2B Account
C000169,Cameron,Brooks,cameron.brooks169@mail.example,Reseller,Blue Ridge,Asheville,NC,2025-01-30T00:00:00,Platinum
C000170,Morgan,Griffin,morgan.griffin170@mail.example,Loyalty,Piedmont,Columbia,SC,2024-12-06T00:00:00,Gold
C000171,Drew,Sanders,drew.sanders171@mail.example,Loyalty,Piedmont,Columbia,SC,2025-03-09T00:00:00,Gold
C000172,Harper,Bell,harper.bell172@mail.example,School Program,Appalachian,Johnson City,TN,2025-05-09T00:00:00,Bronze
C000173,Harper,Griffin,harper.griffin173@mail.example,Corporate,Appalachian,Johnson City,TN,2024-01-22T00:00:00,Platinum
C000174,Riley,Bennett,riley.bennett174@mail.example,Guide Service,Coastal,Charleston,SC,2024-02-01T00:00:00,Bronze
C000175,Logan,Wood,logan.wood175@mail.example,Reseller,Blue Ridge,Roanoke,VA,2024-09-04T00:00:00,Bronze
C000176,Cameron,Richardson,cameron.richardson176@mail.example,Guide Service,Smoky Mountains,Knoxville,TN,2025-06-08T00:00:00,Bronze
C000177,Sawyer,Reed,sawyer.reed177@mail.example,Reseller,Smoky Mountains,Knoxville,TN,2025-05-07T00:00:00,Platinum
C000178,Taylor,Richardson,taylor.richardson178@mail.example,Guide Service,Piedmont,Columbia,SC,2024-10-03T00:00:00,Bronze
C000179,Riley,Parker,riley.parker179@mail.example,Reseller,Coastal,Charleston,SC,2024-10-22T00:00:00,Gold
C000180,Drew,Foster,drew.foster180@mail.example,Retail,Piedmont,Charlotte,NC,2025-04-20T00:00:00,Silver
C000181,Reese,Price,reese.price181@mail.example,Retail,Appalachian,Boone,NC,2024-04-17T00:00:00,Platinum
C000182,Parker,Reed,parker.reed182@mail.example,Retail,Appalachian,Johnson City,TN,2025-03-06T00:00:00,Bronze
C000183,Cameron,Morgan,cameron.morgan183@mail.example,Guide Service,Piedmont,Charlotte,NC,2025-07-26T00:00:00,Bronze
C000184,Jordan,Hayes,jordan.hayes184@mail.example,Retail,Piedmont,Charlotte,NC,2025-12-04T00:00:00,Silver
C000185,Drew,Brooks,drew.brooks185@mail.example,Reseller,Appalachian,Johnson City,TN,2024-10-05T00:00:00,Platinum
C000186,Casey,Carter,casey.carter186@mail.example,Loyalty,Smoky Mountains,Knoxville,TN,2025-08-31T00:00:00,Gold
C000187,Rowan,Bennett,rowan.bennett187@mail.example,Reseller,Appalachian,Asheville,NC,2025-12-22T00:00:00,Gold
C000188,Riley,Murphy,riley.murphy188@mail.example,Loyalty,Appalachian,Roanoke,VA,2025-03-16T00:00:00,Silver
C000189,Jordan,Carter,jordan.carter189@mail.example,Retail,Appalachian,Roanoke,VA,2025-11-19T00:00:00,Silver
C000190,Skyler,Murphy,skyler.murphy190@mail.example,Corporate,Blue Ridge,Asheville,NC,2025-03-04T00:00:00,Bronze
C000191,Drew,Richardson,drew.richardson191@mail.example,Retail,Appalachian,Boone,NC,2025-05-23T00:00:00,Bronze
C000192,Reese,Collins,reese.collins192@mail.example,Retail,Appalachian,Johnson City,TN,2025-05-10T00:00:00,Gold
C000193,Avery,Bennett,avery.bennett193@mail.example,Guide Service,Appalachian,Johnson City,TN,2025-01-01T00:00:00,Silver
C000194,Casey,Wood,casey.wood194@mail.example,Retail,Piedmont,Greenville,SC,2025-02-21T00:00:00,Bronze
C000195,Parker,Collins,parker.collins195@mail.example,Reseller,Piedmont,Columbia,SC,2025-12-09T00:00:00,Bronze
C000196,Dakota,Brooks,dakota.brooks196@mail.example,Retail,Smoky Mountains,Johnson City,TN,2025-12-22T00:00:00,Silver
C000197,Finley,Bailey,finley.bailey197@mail.example,School Program,Foothills,Greenville,SC,2025-06-09T00:00:00,Silver
C000198,Parker,Brooks,parker.brooks198@mail.example,Loyalty,Piedmont,Charlotte,NC,2024-10-15T00:00:00,Gold
C000199,Emerson,Bell,emerson.bell199@mail.example,Reseller,Piedmont,Charlotte,NC,2024-02-09T00:00:00,Platinum
C000200,Avery,Powell,avery.powell200@mail.example,Retail,Piedmont,Hickory,NC,2025-09-13T00:00:00,Bronze
C000201,Dakota,Morgan,dakota.morgan201@mail.example,Retail,Coastal,Charleston,SC,2025-10-27T00:00:00,Silver
C000202,Quinn,Murphy,quinn.murphy202@mail.example,Loyalty,Piedmont,Charlotte,NC,2024-01-09T00:00:00,Silver
C000203,Reese,Morgan,reese.morgan203@mail.example,Guide Service,Piedmont,Columbia,SC,2025-05-06T00:00:00,Bronze
C000204,Dakota,Bell,dakota.bell204@mail.example,Loyalty,Smoky Mountains,Knoxville,TN,2025-12-03T00:00:00,Bronze
C000205,Dakota,Wood,dakota.wood205@mail.example,Guide Service,Piedmont,Columbia,SC,2025-08-16T00:00:00,Silver
C000206,Dakota,Sanders,dakota.sanders206@mail.example,School Program,Piedmont,Charlotte,NC,2024-11-28T00:00:00,B2B Account
C000207,Taylor,Bell,taylor.bell207@mail.example,School Program,Piedmont,Columbia,SC,2025-10-13T00:00:00,Silver
C000208,Riley,Brooks,riley.brooks208@mail.example,Guide Service,Piedmont,Columbia,SC,2025-04-20T00:00:00,Bronze
C000209,Parker,Murphy,parker.murphy209@mail.example,Retail,Piedmont,Charlotte,NC,2024-11-16T00:00:00,Platinum
C000210,Sawyer,Cooper,sawyer.cooper210@mail.example,Retail,Piedmont,Hickory,NC,2025-07-29T00:00:00,Silver
C000211,Casey,Turner,casey.turner211@mail.example,Retail,Piedmont,Charlotte,NC,2024-09-25T00:00:00,Bronze
C000212,Cameron,Powell,cameron.powell212@mail.example,Reseller,Foothills,Hickory,NC,2024-10-21T00:00:00,Silver
C000213,Logan,Morgan,logan.morgan213@mail.example,Reseller,Appalachian,Boone,NC,2025-11-13T00:00:00,Silver
C000214,Riley,Cooper,riley.cooper214@mail.example,School Program,Smoky Mountains,Knoxville,TN,2025-06-21T00:00:00,Silver
C000215,Parker,Carter,parker.carter215@mail.example,Guide Service,Foothills,Knoxville,TN,2025-08-13T00:00:00,Silver
C000216,Quinn,Brooks,quinn.brooks216@mail.example,Retail,Smoky Mountains,Johnson City,TN,2024-08-23T00:00:00,Silver
C000217,Reese,Hayes,reese.hayes217@mail.example,Corporate,Appalachian,Johnson City,TN,2024-01-17T00:00:00,Platinum
C000218,Rowan,Bailey,rowan.bailey218@mail.example,Guide Service,Appalachian,Roanoke,VA,2025-11-04T00:00:00,Bronze
C000219,Cameron,Powell,cameron.powell219@mail.example,Corporate,Smoky Mountains,Knoxville,TN,2024-07-20T00:00:00,Gold
C000220,Logan,Sanders,logan.sanders220@mail.example,Guide Service,Appalachian,Roanoke,VA,2025-01-06T00:00:00,Silver
